Bigram				Count				Probability

('The', 'president')	0.026398054880166725	0.0001736714136853074
('president', 'wants')	0.01580056179775281	0.00017556179775280898
('wants', 'to')		0.0021390374331550803		0.0005347593582887701
('to', 'control')		0.20751398880895283		0.000319744204636291
('control', 'the')	0.0023135789286349885	0.0001779676098949991
('the', 'board')		29.469869243888574		0.02060830017055145
('board', "'s")		1.103148024112525		0.003014065639651708
("'s", 'control')	0.0642630612585545	0.00016691704223001168

Probablility = 9.619576655357422e-27
